"Task Ref","Name","Function",Include,"Priority","Stack Size","Default Period","Default Deadline","Privilege","Memory Region 0","Memory Region 1","Memory Region 2","Memory Region 3","Memory Region 4","Memory Region 5","Memory Region 6","Memory Region 7","Memory Region 8","Memory Region 9","Memory Region 10"
"SALAMI_TASK","""SalamiMain""","SalamiMain",salami/salami.h,"PRIORITY_HIGH","1024u","500u","500u","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"MISO_TASK","""MisoMain""","MisoMain",miso/miso.h,"PRIORITY_LOW","1024u","500u","NO_DEADLINE","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"CARNE_TASK","""CarneMain""","CarneMain",carne/carne.h,"PRIORITY_HIGH","1024u","500u","500u","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"TC_RECEIVER","""TcReceiverMain""","TcReceiverMain",tm_tc/tc_receiver.h,"PRIORITY_HIGH","2048u","500u","500u","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"TM_SENDER","""TmSenderMain""","TmSenderMain",tm_tc/tm_sender.h,"PRIORITY_BELOW_NORMAL","1024u","500u","500u","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"TC_SCHEDULER","""TcSchedulerMain""","TcSchedulerMain",tm_tc/tc_scheduler.h,"PRIORITY_LOW","3072u","500u","NO_DEADLINE","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"TC_PROCESS","""TcProcessMain""","TcProcessMain",tm_tc/tc_process.h,"PRIORITY_NORMAL","2048u","500u","500u","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"HK_TASK","""HkMain""","HkMain",housekeeping/housekeeping.h,"PRIORITY_LOW","2048u","500u","NO_DEADLINE","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"AOCS_TASK","""AocsMain""","AocsMain",aocs/aocs.h,"PRIORITY_ABOVE_NORMAL","1024u","500u","500u","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
"POWER_TASK","""PowerMain""","PowerMain",power/power.h,"PRIORITY_ABOVE_NORMAL","1024u","500u","500u","TASK_PRIVILEGED","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}","{0u, 0u, 0u}"
