Task Ref,Name,Function,Priority,Stack Size,Default Period,Privilege,Memory Region 0,Memory Region 1,Memory Region 2,Memory Region 3,Memory Region 4,Memory Region 5,Memory Region 6,Memory Region 7,Memory Region 8,Memory Region 9,Memory Region 10
SALAMI_TASK,"""SalamiMain""",SalamiMain,PRIORITY_HIGH,1024,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
MISO_TASK,"""MisoMain""",MisoMain,PRIORITY_LOW,2048,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
CARNE_TASK,"""CarneMain""",CarneMain,PRIORITY_HIGH,1024,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
TC_RECEIVER,"""TcReceiverMain""",TcReceiverMain,PRIORITY_HIGH,2048,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
TM_SENDER,"""TmSenderMain""",TmSenderMain,PRIORITY_BELOW_NORMAL,1024,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
TC_SCHEDULER,"""TcSchedulerMain""",TcSchedulerMain,PRIORITY_LOW,4096,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
TC_PROCESS,"""TcProcessMain""",TcProcessMain,PRIORITY_NORMAL,2048,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
HK_TASK,"""HkMain""",HkMain,PRIORITY_LOW,2048,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
AOCS_TASK,"""AocsMain""",AocsMain,PRIORITY_ABOVE_NORMAL,1024,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
POWER_TASK,"""PowerMain""",PowerMain,PRIORITY_ABOVE_NORMAL,1024,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
THERMAL_TASK,"""ThermalMain""",ThermalMain,PRIORITY_ABOVE_NORMAL,1024,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
GRAVIMETRY_TASK,"""GravimetryMain""",GravimetryMain,PRIORITY_NORMAL,1024,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
IRIDIUM_TASK,"""IridiumMain""",IridiumMain,PRIORITY_NORMAL,1024,500,TASK_PRIVILEGED,"{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}","{0, 0, 0}"
