Task Ref,Name,Function,Priority,Stack Size,Default Period,Privilege
TC_RECEIVER_TASK,"""TC_RECEIVER""",TcReceiverMain,PRIORITY_HIGH,2048,500,TASK_UNPRIVILEGED
TM_SENDER_TASK,"""TM_SENDER""",TmSenderMain,PRIORITY_BELOW_NORMAL,1024,500,TASK_UNPRIVILEGED
TC_SCHEDULER_TASK,"""TC_SCHEDULER""",TcSchedulerMain,PRIORITY_LOW,4096,500,TASK_UNPRIVILEGED
TC_PROCESS_TASK,"""TC_PROCESS""",TcProcessMain,PRIORITY_NORMAL,2048,500,TASK_UNPRIVILEGED
TMTC_HK_TASK,"""HOUSEKEEPING""",TmTcHkMain,PRIORITY_LOW,2048,500,TASK_UNPRIVILEGED
AOCS_TASK,"""AOCS""",AocsMain,PRIORITY_ABOVE_NORMAL,1024,500,TASK_UNPRIVILEGED
POWER_TASK,"""POWER""",PowerMain,PRIORITY_ABOVE_NORMAL,1024,500,TASK_UNPRIVILEGED
THERMAL_TASK,"""THERMAL""",ThermalMain,PRIORITY_ABOVE_NORMAL,1024,500,TASK_UNPRIVILEGED
GRAVIMETRY_TASK,"""GRAVIMETRY""",GravimetryMain,PRIORITY_NORMAL,1024,500,TASK_UNPRIVILEGED
IRIDIUM_TASK,"""IRIDIDIUM""",IridiumMain,PRIORITY_NORMAL,1024,500,TASK_UNPRIVILEGED
