Numero,Syscall,Description,Prototype
0,CheckError,Kernel check for error and call ErrorHandler if needed,void CheckError(returnCode_t retcode)
1,GetTick,Get system tick (number of ticks since scheduler has started),tick_t GetTick(void)
2,Sleep,Sleep for a certain amount of tick,void Sleep(tick_t tick)
3,SleepPeriodic,Sleep until next period (for periodical tasks),void SleepPeriodic(void)
4,GetTime,Get real time clock time,returnCode_t GetTime(time_t *time)
5,SetTime,Set real time clock time,returnCode_t SetTime(time_t time)
6,DeviceOpen,Open (bind) a new device,returnCode_t DeviceOpen(deviceNo_t *device, deviceType_t type, uint32_t ressource, uint32_t extra_info)
7,DeviceWrite,Write data into the device,returnCode_t DeviceWrite(deviceNo_t device, data_t data, length_t length)
8,DeviceRead,Read data into the device,returnCode_t DeviceRead(deviceNo_t device, data_t data, length_t length)
9,DeviceIoctl,Perform IOCTL action with the device,returnCode_t DeviceIoctl(deviceNo_t device, uint32_t cmd, void *data, uint32_t data_size)
10,DeviceClose,Close (unbind) device,returnCode_t DeviceClose(deviceNo_t device)
11,GetCurrentTask,Get current task numero,returnCode_t GetCurrentTask(taskNo_t *task)
12,SuspendTask,Suspend a specific task,returnCode_t SuspendTask(taskNo_t task)
13,ResumeTask,Resume a specific task,returnCode_t ResumeTask(taskNo_t task)
14,GetTaskPriority,Get a specific task priority,returnCode_t GetTaskPriority(taskNo_t task, taskPriority_t *priority)
15,SetTaskPriority,Set a specific task priority,returnCode_t SetTaskPriority(taskNo_t task, taskPriority_t priority)
16,AcquireMutex,Acquire the mutex,returnCode_t AcquireMutex(mutexNo_t mutex)
17,ReleaseMutex,Release the mutex,returnCode_t ReleaseMutex(mutexNo_t mutex)
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
